date,type,rec,rep-num,rep-len,Total,pace,hr,temp
9/16/2015,I,1,4,800,3.2,6.17,,28
9/17/2015,E,,,,10,8.48,151,28
9/18/2015,T,5,2,2,4,7.05,,30
9/19/2015,E,,,,8,8.44,,33
9/20/2015,L,,,,12,9.31,136,29
9/21/2015,E,,,,10.5,9.15,138,28
9/22/2015,E,,,,11,9.14,136,27
9/23/2015,I,1,6,800,4.8,6.11,168,28
9/24/2015,E,,,,11,9.13,137,28
9/25/2015,M,,,,5,7.18,161,31
9/26/2015,E,,,,8,9.43,,31
9/27/2015,L,,,,20,9.15,138,23
9/28/2015,E,,,,9,9.09,135,23
9/29/2015,E,,,,9,9.02,135,27
9/30/2015,I,1.5,5,1200,6,6.21,168,29
10/1/2015,,,,,,,,
10/2/2015,T,5,3,2,6,6.59,161,27
10/3/2015,E,,,,10,9.01,,28
10/4/2015,L,,,,17,9.24,138,27
10/5/2015,E,,,,11,8.56,137,25
10/6/2015,M,,,,6,7.1,161,27
10/7/2015,E,,,,12,8.49,136,26
10/8/2015,E,,,,8,8.44,134,28
10/9/2015,E,,,,4,8.59,,30
10/10/2015,,,,,,,,
10/11/2015,E,,,,8,9.32,132,24
10/12/2015,E,,,,11,9,138,26
10/13/2015,E,,,,7.5,8.44,134,25
10/14/2015,M,,,,8,6.57,162,24
10/15/2015,E,,,,11,8.53,137,23
10/16/2015,H,,,,4,,,32
10/17/2015,E,,,,9,8.53,,27
10/18/2015,L,,,,20,8.49,138,21
10/19/2015,E,,,,11,8.31,138,19
10/20/2015,M,,,,8,7.01,168,23
10/21/2015,E,,,,12,8.54,139,23
10/22/2015,H,,4,400,1.8,,,28
10/23/2015,E,,,,10,9.04,,26
10/24/2015,E,,,,8,8.49,,23
10/25/2015,L,,,,23,8.49,140,15
10/26/2015,,,,,,,,
10/27/2015,T,5,4,2,8,6.47,161,23
10/28/2015,,,,,,,,
10/29/2015,E,,,,8,8.37,137,22
10/30/2015,H,,8,400,2,,,24
10/31/2015,E,,,,11,8.4,,23
11/1/2015,L,,,,15,8.43,137,19
11/2/2015,E,,,,9,8.48,133,20
11/3/2015,M,,,,10,6.55,167,20
11/4/2015,E,,,,12,8.56,137,22
11/5/2015,El,,,,6,,,24
11/6/2015,El,,,,6,,,25
11/7/2015,E,,,,8,8.33,,18
11/8/2015,L,,,,15,7.13,159,19
11/9/2015,E,,,,9,8.49,,19
11/10/2015,H,,4,400,1,,,23
11/11/2015,E,,,,15,8.58,137,25
11/12/2015,El,,,,6,,,
11/13/2015,Race,,,,4.7,6.25,,
11/14/2015,E,,,,10,,,
11/15/2015,E,,,,8,,,
11/16/2015,E,,,,8,,,
11/17/2015,,,,,,,,
11/18/2015,H,,8,400,2,,,
11/19/2015,E,,,,8,8.5,,19
11/20/2015,,,,,,,,
11/21/2015,,,,,,,,
11/22/2015,Race,,,,16,6.53,,4
11/23/2015,E,,,,8,8.25,135,12
11/24/2015,E,,,,8,8.36,136,16
11/25/2015,El,,,,3,,,
11/26/2015,Race,,,,5000,6.16,,20
11/27/2015,H,,4,400,1,,,23
11/28/2015,E,,,,8,8.34,135,10
11/29/2015,L,,,,24,8.55,139,10
11/30/2015,El,,,,4,9.18,,14
12/1/2015,E,,,,11,8.5,138,13
12/2/2015,I,,16,1000,16,6.21,162,13
12/3/2015,E,,,,11,8.46,137,13
12/4/2015,E,,,,6,8.37,136,13
12/5/2015,M,,,,4,6.46,158,16
12/6/2015,L,,,,25.5,8.41,138,17
12/7/2015,,,,,,,,
12/8/2015,M,,,,7.5,6.48,163,17
12/9/2015,E,,,,14.5,8.32,137,22
12/10/2015,T,,4,2000,8,6.29,170,22
12/11/2015,E,,,,9,8.34,,26
12/12/2015,,,,,,,,
12/13/2015,L,,,,30,8.53,136,12
12/14/2015,El,,,,4,,,
12/15/2015,E,,,,9,8.32,135,20
12/16/2015,,,,,,,,
12/17/2015,,,,,,,,
12/18/2015,E,,,,8,6.25,,7
12/19/2015,,,,,,,,
12/20/2015,M,,,,6,7,,20
12/21/2015,E,,,,8.5,8.3,140,22
12/22/2015,I,,6,1000,6,6.06,170,20
12/23/2015,E,,,,7.2,8.51,136,25
12/24/2015,,,,,,,,20
12/25/2015,,,,,,,,
12/26/2015,T,,4,2,8,6.48,161,24
5/23/2016,T,1,2,1,2,6.33,,24
5/24/2016,E,,,,3,8.41,,25
5/25/2016,R,3,6,400,1.5,5.52,,26
5/26/2016,E,,,,4,8.56,151,27
5/27/2016,,,,,,,,
5/28/2016,E,,,,8.2,9.14,,30
5/29/2016,E,,,,5.7,9.1,,29
5/30/2016,T,5,2,2,4,7.06,,29
5/31/2016,E,,,,6,8.56,,27
6/1/2016,R,2,5,400,2,,,25
6/2/2016,,,,,,,,
6/3/2016,E,,,,5,,,24
6/4/2016,L,,,,10,9.12,,25
6/5/2016,,,,,,,,
6/6/2016,T,1,3,1,3,7,,30
6/7/2016,,,,,,,,
6/8/2016,,,,,,,,
6/9/2016,E,E,,,5,9.1,,26
6/10/2016,E,E,,,5.5,8.58,,30
6/11/2016,M,3,,,3,7.23,,30
6/12/2016,E,E,,,4,8.58,,29
6/13/2016,T,5,2,2,4,7.06,,31
6/14/2016,,,,,,,,
6/15/2016,,,,,,,,
6/16/2016,E,E,,,6,9.14,,34
6/17/2016,E,E,,,5,9.12,,33
6/18/2016,L,9,,,9,9.21,,32
6/19/2016,diag,,12,150,3,9.21,,30
6/20/2016,T,1,3,1,3,7,,31
6/21/2016,,,,,,,,
6/22/2016,R,3,4,400,1,5.48,,31
6/23/2016,,,,,,,,
6/24/2016,E,,,,3,9.04,,30
6/25/2016,E,,,,5,8.51,,32
6/26/2016,E,,,,5,8.57,,30
6/27/2016,T,1,3,1,3,7.02,,29
6/28/2016,E,,,,5,8.59,,29
6/29/2016,I,3,8,800,,6.3,,33
6/30/2016,,,,,,,,
7/1/2016,E,,,,3,9,,
7/2/2016,E,,,,5,9.3,,34
7/3/2016,,,,,,,,
7/4/2016,E,,,,3,8.49,,32
7/5/2016,,,,,,,,
7/6/2016,E,,,,1,,,31
7/7/2016,E,,,,3,8.52,,30
7/8/2016,,,,,,,,
7/9/2016,E,,,,4,9.09,,35
7/10/2016,,,,,,,,
7/11/2016,,,,,,,,
7/12/2016,E,,,,5.5,8.57,,
7/13/2016,I,3,8,800,,6.26,,34
7/14/2016,E,,,,5,8.56,,27
7/15/2016,,,,,,,,
7/16/2016,E,,,,5,9.09,,33
7/17/2016,,,,,,,,
7/18/2016,,,,,,,,
7/19/2016,T,1,4,1,4,7.17,,27
7/20/2016,E,,,,4,9.3,,31
7/21/2016,I,3,8,800,24,6.24,,32
7/22/2016,E,,,,5,,,34
7/23/2016,M,5,,,5,7.32,,34
7/24/2016,E,,,,5,9.06,,29
7/25/2016,T,5,3,2,6,7.1,,26
7/26/2016,S,,10,100,2,,,26
7/27/2016,I,2,4,1000,4,6.33,,32
7/28/2016,E,,,,5,8.42,,30
7/29/2016,E,,,,5,9.09,,32
7/30/2016,L,,,,11,9.03,,25
7/31/2016,E,,,,2,,,31
8/1/2016,T,5,3,2,6,7.06,,28
8/2/2016,E,E,,,3,9.2,,
8/3/2016,I,2,5,1000,5,6.29,,29
8/4/2016,E,,,,5,8.57,,35
8/5/2016,,,,,,,,
8/6/2016,E,,,,2,9.12,,24
8/7/2016,T,,,,3,7.3,,23
8/8/2016,,,,,,,,
8/9/2016,E,,,,6,9.19,,22
8/10/2016,E,,,,8,,,20
8/11/2016,,,,,,,,
8/12/2016,,,,,,,,
8/13/2016,,,,,,,,
8/14/2016,E,,,,5,9.12,,25
8/15/2016,T,,2,1.5,3,6.57,,29
8/16/2016,E,E,,,7,9.04,,26
8/17/2016,I,2,6,1000,6,6.24,,
8/18/2016,E,E,,,6,8.51,,28
8/19/2016,E,E,,,5,9.01,,28
8/20/2016,,,,,,,,
8/21/2016,L,8,,,8,9.16,143,25
8/22/2016,T,5,2,2,4,7.15,,28
8/23/2016,E,,,,8,9.28,143,28
8/24/2016,I,2,4,1000,4,6.49,171,31
8/25/2016,E,,,,10,9.23,143,25
8/26/2016,E,,,,5,9.25,146,33
8/27/2016,L,,,,15.8,9.3,143,31
8/28/2016,E,,,,2,10,,25
8/29/2016,M,4,,,4.1,7.05,163,29
8/30/2016,L,,,,12.6,9.29,142,31
8/31/2016,I,2,6,1000,6,6.32,166,27
9/1/2016,E,,,,5,9.31,149,34
9/2/2016,E,,,,7,9.34,141,25
9/3/2016,L,,,,10.5,9.44,132,25
9/4/2016,,,,,,,,
9/5/2016,M,5,,,5,7.25,159,32
9/6/2016,E,,,,5,9.05,137,26
9/7/2016,I,2,6,1000,6,6.25,166,27
9/8/2016,E,,,,3,9.35,147,31
9/9/2016,E,,,,9.3,9.35,140,26
9/10/2016,L,,,,11.5,9.35,140,25
9/11/2016,,,,,,,,
9/12/2016,LT,3,2,3,6,7.17,162,26
9/13/2016,E,,,,8,9.15,135,26
9/14/2016,I,2,6,1000,6,6.24,165,28
9/15/2016,E,,,,7,9.22,142,31
9/16/2016,E,,,,3,9.38,136,29
9/17/2016,E,,,,5,10.17,139,30
9/18/2016,L,,,,11,8.48,148,28
9/19/2016,M,3,,,3,7.27,158,29
9/20/2016,E,,,,5.5,9.33,132,28
9/21/2016,I,2,6,1000,6,6.27,166,27
9/22/2016,E,,,,11,9.28,135,25
9/23/2016,,,,,,,,
9/24/2016,L,,,,15.5,9.38,136,26
9/25/2016,M,9,,,9,7.29,159,24
9/26/2016,,,,,,,,
9/27/2016,I,2,6,1000,6,6.27,162,25
9/28/2016,E,,,,11,9.23,134,24
9/29/2016,LT,3,3,3,9,7.1,158,23
9/30/2016,R,,,,8.4,9.18,137,26
10/1/2016,E,,,,7.5,9.39,137,26
10/2/2016,,,,,,,,
10/3/2016,E,E,,,5.7,10.04,131,28
10/4/2016,R,2,10,200,2,5.32,,27
10/5/2016,,,,,,,,
10/6/2016,,,,,,,,
10/7/2016,E,E,,,13.7,9.59,135,29
10/8/2016,,,,,5.9,9.55,137,20
10/9/2016,L,,,,2.8,9.09,138,24
10/10/2016,,,,,,,,
10/11/2016,I,3,10,400,4,5.55,,24
10/12/2016,,,,,,,,
,,,,,,,,
12/12/2016,E,,,,5.6,8.41,,20
12/13/2016,R,2,11,200,2.2,,,20
12/14/2016,,,,,,,,
12/15/2016,M,,,3.3,3.3,7.1,165,12
12/16/2016,,,,,,,,
12/17/2016,E,,,,5.6,8.45,153,22
12/18/2016,,,,,,,,
12/19/2016,M,,,8.1,8.1,7.22,161,9
12/20/2016,E,,,,5.6,8.36,150,11
12/21/2016,I,1.5,8,400,3.2,5.46,159,19
12/22/2016,E,,,,5.4,8.54,151,21
12/23/2016,M,,,5,5,7.21,165,23
12/24/2016,,,,,,,,
12/25/2016,,,,,,,,
12/26/2016,E,,,,7,8.59,,23
12/27/2016,E,,,,5,8.4,,21
12/28/2016,I,1.5,10,400,4,5.49,,25
12/29/2016,E,,,,5.5,8.29,,18
12/30/2016,E,,,,5.5,8.2,,11
12/31/2016,M,,,,5,7.17,,20
1/1/2017,,,,,,,,
1/2/2017,E,,,,6,9.37,,22
1/3/2017,E,,,,5.5,8.34,141,18
1/4/2017,I,1.5,12,400,4.8,6.04,154,10
1/5/2017,,,,,,,,
1/6/2017,M,,,,5,6.56,165,1
1/7/2017,E,,,,5.5,8.29,142,5
1/8/2017,L,,,10.7,10.7,8.42,144,6
1/9/2017,E,,,,5.5,8.31,143,18
1/10/2017,,,,,,,,
1/11/2017,I,1.5,12,400,4.8,6.02,158,21
1/12/2017,E,,,,5.5,8.39,143,22
1/13/2017,E,,,,7.7,8.52,,21
1/14/2017,M,,,,5,7,164,17
1/15/2017,L,,,8.5,8.5,8.52,143,24
1/16/2017,,,,,,,,
1/17/2017,E,,,,5.5,9.01,,22
1/18/2017,I,1.5,15,400,6,6.06,161,17
1/19/2017,E,,,,5.5,8.36,144,17
1/20/2017,M,,,5,5,7.02,169,18
1/21/2017,E,,,,5.5,8.33,,19
1/22/2017,M,,,10,10,7.29,157,17
1/23/2017,E,,,,,,,
1/24/2017,E,,,,5.5,8.24,144,10
1/25/2017,I,1.5,15,400,6,5.56,154,19
1/26/2017,E,,,,5.5,8.21,144,8
1/27/2017,E,,,,5.5,8.04,144,10
1/28/2017,I,2,4,1,4,6.3,165,14
1/29/2017,,,,,,,,
1/30/2017,M,,,10,10,7.29,161,23
1/31/2017,E,,,,5.5,8.02,145,14
2/1/2017,R,200,12,200,2.4,5.26,,21
2/2/2017,E,,,,6.8,8.15,146,18
2/3/2017,E,,,,5.5,7.5,151,15
2/4/2017,I,2,6,800,4.8,6.12,161,14
2/5/2017,E,,,,,,,
2/6/2017,E,,,,8,7.23,162,22
2/7/2017,E,,,,5.5,7.54,152,21
2/8/2017,R,200,12,200,2.4,5.14,,25
2/9/2017,E,,,,5.5,7.59,143,17
2/10/2017,E,,,,5.5,8.01,154,21
2/11/2017,I,2,6,1000,6,,,
2/12/2017,M,,,3,3,,,
2/13/2017,E,,,,6,8.51,,19
2/14/2017,M,,,3,3,7.05,,12
2/15/2017,I,1.5,15,400,6,5.59,,15
2/16/2017,E,,,,5.5,7.56,143,11
2/17/2017,E,,,,5.5,8.06,140,15
2/18/2017,R,4.5,4,400,1,5.15,,27
2/19/2017,,,,,,,,
2/20/2017,,,,,,,,
2/21/2017,,,,,,,,
2/22/2017,E,,,,5.5,8.3,,
2/23/2017,,,,,,,,
2/24/2017,,,,,,,,
2/25/2017,I,2,4,1000,4,6.3,,
2/26/2017,,,,,,,,
2/27/2017,E,,,,3.2,7.47,157,22
2/28/2017,E,,,,5.5,8.43,,24
3/1/2017,R,200,12,200,2.4,5.02,,21
3/2/2017,E,,,,5.5,8.16,,15
3/3/2017,,,,,,,,
3/4/2017,Race,,,,10000,6.4,172,18
3/5/2017,,,,,,,,
3/6/2017,L,,,10,10,7.5,,22
3/7/2017,,,,,,,,
3/8/2017,R,5,4,400,1.6,5.05,,
3/9/2017,E,,,,6.2,9.29,134,22
3/10/2017,E,,,,5,7.52,,22
3/11/2017,T,2,4,1,4,6.22,168,19
3/12/2017,M,,,5,5,6.58,164,20
3/13/2017,,,,,,,,
3/14/2017,E,,,,5.5,7.34,,18
3/15/2017,R,5,4,400,1.6,5.05,,15
3/16/2017,E,,,,5.5,7.29,153,20
3/17/2017,E,,,,5.5,7.3,,20
3/18/2017,I,2,4,1,4,6.29,168,25
3/19/2017,M,,,3,3,,,24
3/20/2017,,,,,,,,
3/21/2017,,,,,,,,
3/22/2017,M,,,5,5,6.54,159,23
3/23/2017,R,200,12,200,2.4,5.06,,21
3/24/2017,,,,,,,,
3/25/2017,I,1.5,16,400,3.2,8.24,,
3/26/2017,,,,,,,,
3/27/2017,,,,,,,,
3/28/2017,E,,,,5.8,8.26,,26
3/29/2017,,,,,,,,
3/30/2017,R,5,4,400,1600,5.01,,22
3/31/2017,E,,,,6.5,8.41,,29
4/1/2017,E,,,,6,8.34,,24
4/2/2017,E,,,,6,8.13,,24
4/3/2017,I,2,6,1000,6000,6.23,,29
